,name,affiliate,Hoppin' and Poppin'!,3-1-2? It's So Complex!,"Toss it, I'm Over It! (Row)","Toss it, I'm Over It! (Metcon)",Get on Up 'n Git Down,WOD1,WOD2,WOD3,WOD4,WOD5,Total
152,Sippin' on Gym & Juice,RURAL STRENGTH AND CONDITIONING,04:40,380,189,296,06:19,36.0,7.0,14.0,45.0,81.0,183.0
153,DFWV,ADAMANTIUM WEIGHTLIFTING,04:54,265,175,310,05:57,63.0,108.0,46.0,21.0,61.0,299.0
154,Dynamic Duo,MORTAR CROSSFIT,04:28,345,200,299,04:43,22.0,16.0,6.0,39.0,3.0,86.0
155,She's Carrying Me,TRVFIT HARTLAND,04:02,300,173,274,04:51,2.0,59.0,52.0,79.0,5.0,197.0
156,Snatch and Balls,RIVERCITIES YMCA CROSSFIT,04:49,260,159,297,05:35,53.0,113.0,92.0,44.0,40.0,342.0
157,Rackz- N -Sackz,INDEPENDENT,04:40,265,167,227,07:14,36.0,108.0,70.0,140.0,124.0,478.0
158,CB Radio: Coming In Hot!,CROSSFIT TRIED AND TRUE,11:10,165,141,50,10:28,162.0,162.0,142.0,162.0,159.0,787.0
159,Impact Velocity,CROSSFIT SONORA,04:24,325,197,305,04:45,18.0,34.0,8.0,25.0,4.0,89.0
160,Mid Life Masters,CROSSFIT BASS RIVER,04:53,275,146,290,05:29,58.0,92.0,132.0,56.0,34.0,372.0
161,Heart Attack,TABLE ROCK CROSSFIT,04:48,320,188,293,05:59,49.0,38.0,15.0,48.0,62.0,212.0
162,RACKnSACK,CROSSFIT SAND SPRINGS,04:55,320,183,207,07:16,66.0,38.0,32.0,150.0,125.0,411.0
