name,affiliate,place,totalPoints,Hoppin and Poppin,3-1-2 Its So Complex,Toss it Im Over It Row,Toss it Im Over It Metcon,Get on Up n Git Down,WOD1,WOD2,WOD3,WOD4,WOD5
Masters Of Our Domain,HELLROARING CROSSFIT,61,317,05:08,300,161,278,05:48,83,49,75,63,47
Bar Crawler Overs,INDEPENDENT,62,318,04:57,345,146,288,06:38,62,6,116,51,83
GT Masters,GT ATHLETICS,63,321,04:57,280,162,285,06:14,62,72,72,52,63
Bushel & PecK,INDEPENDENT,64,322,05:18,315,164,284,06:25,96,33,68,53,72
White Rice,CROSSFIT UXO,65,325,05:05,280,159,282,05:37,78,72,80,58,37
We're Not Dead Yet,CROSSFIT IRON HAMMER,66,327,04:54,250,164,293,05:47,57,115,68,42,45
Dino - sores ,INDEPENDENT,67,334,04:14,320,153,262,07:31,10,28,99,83,114
Absolutely BS,CROSSFIT CONQUER,68,341,04:52,270,166,275,06:20,51,89,63,68,70
Garage Thick,INDEPENDENT,69,343,05:34,340,153,299,06:39,116,11,99,33,84
Snatch Assassins ,CROSSFIT SEDALIA,70,346,05:07,340,147,282,06:36,82,11,113,58,82
"WOD-We Old, Dude","CROSSFIT 453, TOMAHAWK",71,349,04:29,280,159,250,06:34,22,72,80,96,79
Slow Burners,CROSSFIT PNEUMA,72,350,05:10,300,156,278,06:18,85,49,87,63,66
Perpetual Fitness,LIGHT THE FIRE CROSSFIT,72,350,05:06,275,180,276,06:52,80,81,29,67,93
Masters of the Universe,INDEPENDENT,74,352,04:06,330,147,235,07:02,4,19,113,116,100
RACKnSACK,CROSSFIT SAND SPRINGS,74,352,04:55,320,183,207,07:16,60,28,27,130,107
Two Peas in a Pood,CROSSFIT TACKLE BUNNY,76,353,04:49,315,168,198,06:35,48,33,57,134,81
Old and Slow,CROSSFIT FREEDOM,77,355,04:36,255,139,300,06:12,27,111,129,26,62
Masters of Disaster,CROSSFIT OKOBOJI,78,357,05:38,300,180,269,06:46,118,49,29,72,89
Big Sausage Little Bun,CROSSFIT ELKHORN (ONE GYM),79,367,04:53,285,154,250,06:01,52,69,97,96,53
Annapolis Finest,"REVIVAL FITNESS, CROFTON, MD",80,371,05:02,270,180,266,07:10,75,89,29,75,103
No On Ramp Needed,PANDA PERFORMANCE LAB,81,374,05:11,275,184,250,06:43,89,81,21,96,87
Gummy Bears and Donuts,CROSSFIT INSIGHT,82,384,05:10,300,156,259,06:31,85,49,87,86,77
SMF,INDEPENDENT,83,387,05:27,325,131,295,06:29,111,24,135,41,76
Checkmate Bish,NATURAL SELECTION CROSSFIT,84,397,05:12,260,187,250,06:52,90,101,17,96,93
Release the Quackin,CROSSFIT KOINONIA,85,398,05:34,270,166,292,06:40,116,89,63,45,85
TBD,CROSSFIT RISE ABOVE,86,404,05:28,310,155,266,06:43,112,40,90,75,87
C1000 + 1,CROSSFIT THORNTON,87,413,05:24,290,170,271,08:17,102,63,50,71,127
Rackz- N -Sackz,INDEPENDENT,88,418,04:40,265,167,227,07:14,32,97,61,122,106
