"name","affiliate","Hoppin' and Poppin'!","3-1-2? It's So Complex!","Toss it, I'm Over It! (Row)","Toss it, I'm Over It! (Metcon)","Get on Up 'n Git Down"
Patchwork Powerhouse,CROSSFIT ROUTE 7,05:19,310,149,190,09:48
Wild and Wonderful,BLACK WIDOW CROSSFIT,07:04,280,145,175,08:56
No C4 For You,INDEPENDENT,04:41,380,193,331,05:01
"Jack of all lifts, Masters of none ",BULL RIDGE FITNESS,04:10,360,171,292,05:07
Butts & Bellies,INDEPENDENT,04:26,250,165,328,05:34
Alpha Trion,TEF.  ,04:38,245,179,261,05:08
Annapolis Finest,"REVIVAL FITNESS, CROFTON, MD",05:02,270,180,266,07:10
We're Not Dead Yet,CROSSFIT IRON HAMMER,04:54,250,164,293,05:47
Diamond Start,1214 CROSSFIT,04:59,255,164,240,06:15
Release the Quackin,CROSSFIT KOINONIA,05:34,270,166,292,06:40
She's Kickin' My Chicken,INDEPENDENT,06:43,275,155,291,06:58
MorZilla,CROSSFIT 327,04:36,335,168,291,06:19
Masters of Disaster,CROSSFIT OKOBOJI,05:38,300,180,269,06:46
No nap today!,WUBA CROSSFIT,05:03,260,176,300,06:07
Jacked in the Box,INDEPENDENT,05:57,260,142,241,07:21
WTF,RUGGED PEAKS CROSSFIT,05:15,260,144,255,06:58
Seismic Geriatric Crew,SEISMIC CROSSFIT,05:09,315,192,259,05:30
"Fitness First, Beer Second",WEST FITNESS SANTA CRUZ,-,WD,WD,WD,WD
Of the Abyss,RATH FITNESS,05:05,255,148,250,06:00
BCB Masters,INDEPENDENT,04:09,260,176,321,04:37
Old's Cool,CROSSFIT MANIC,04:51,280,184,250,06:24
Whovians,CLARITYFIT,05:24.000,230,138,235,07:38
In WOD We Trust,PERDIDO BAY CROSSFIT,04:40,345,185,300,05:04
Sleeping with the Secretary ,CROSSFIT FAIRHOPE,04:22,300,188,265,05:36
Revolt Fitness Silver Foxes,INDEPENDENT,07:16,175,150,167,08:42
Rockin our 60's,CROSSFIT KYBR,05:29,235,143,267,08:41
Redrock Patriots ,CROSSFIT GLOBE COBRE VALLEY,06:09,240,136,228,07:18
Garage Thick,INDEPENDENT,05:34,340,153,299,06:39
Team Ibuprofen ,CROSSFIT HARRISBURG,05:30,270,140,223,06:02
Team CES,GLENN BRIDGE CROSSFIT,05:26,250,157,215,07:13
Sipp'n on Gym & Juice,CROSSFIT GLYNCO,04:48,340,188,306,06:07
Masters of Guac and Roll,FIRST COAST CROSSFIT,05:10,250,147,254,07:37
Timeless Titans ,TRAINING ZONE,04:46,240,144,283,06:40
Schoolyard Spartans ,TREIGN PERFORMANCE,04:43,350,170,300,05:39
Days and Weeks,INDEPENDENT,05:06,325,188,309,05:48
Farmer's Carry,INDEPENDENT,06:44,260,179,204,08:50
Woodslawn Warriors,WOODSLAWN FITNESS,04:29,300,168,317,04:57
Hands On Strength,HANDS ON STRENGTH,05:13,260,173,236,06:33
Bringing sexy back,ROADSIDE CROSSFIT,04:59,275,135,250,06:48
"WOD-We Old, Dude","CROSSFIT 453, TOMAHAWK",04:29,280,159,250,06:34
